clip,participant,recording,start_frame,gaze_valid_frac,hand_valid_frac,mse_real,condition,rel_last,rel_full,mse,d_mse
11,P08,P08-20240613-122900,3163,1.0,0.75,0.7567258477210999,gaze_zero,0.13876661658287048,0.06959908455610275,0.7612112164497375,0.004485368728637695
11,P08,P08-20240613-122900,3163,1.0,0.75,0.7567258477210999,gaze_shuffle_time,0.061221253126859665,0.051991116255521774,0.7621304988861084,0.005404651165008545
11,P08,P08-20240613-122900,3163,1.0,0.75,0.7567258477210999,hand_swap,0.08285512775182724,0.05599498748779297,0.7599025368690491,0.0031766891479492188
11,P08,P08-20240613-122900,3163,1.0,0.75,0.7567258477210999,hand_mask,0.15615788102149963,0.08900082111358643,0.7614161968231201,0.004690349102020264
11,P08,P08-20240613-122900,3163,1.0,0.75,0.7567258477210999,hand_shuffle_time,0.10675932466983795,0.07484941929578781,0.7630540728569031,0.006328225135803223
11,P08,P08-20240613-122900,3163,1.0,0.75,0.7567258477210999,both_mask,0.23961804807186127,0.11448270082473755,0.769449770450592,0.012723922729492188
11,P08,P08-20240613-122900,3163,1.0,0.75,0.7567258477210999,gaze_yaw_1deg,0.002955992240458727,0.00197192607447505,0.7565919756889343,-0.00013387203216552734
11,P08,P08-20240613-122900,3163,1.0,0.75,0.7567258477210999,gaze_yaw_2deg,0.005312454886734486,0.0035168672911822796,0.7565252184867859,-0.00020062923431396484
11,P08,P08-20240613-122900,3163,1.0,0.75,0.7567258477210999,gaze_yaw_5deg,0.010799922980368137,0.007734212093055248,0.7565913200378418,-0.00013452768325805664
11,P08,P08-20240613-122900,3163,1.0,0.75,0.7567258477210999,gaze_yaw_10deg,0.01707799732685089,0.014768855646252632,0.7570828795433044,0.00035703182220458984
11,P08,P08-20240613-122900,3163,1.0,0.75,0.7567258477210999,gaze_yaw_20deg,0.0469164103269577,0.028231171891093254,0.7578499913215637,0.0011241436004638672
11,P08,P08-20240613-122900,3163,1.0,0.75,0.7567258477210999,gaze_yaw_45deg,0.07308703660964966,0.041029732674360275,0.7574557662010193,0.0007299184799194336
11,P08,P08-20240613-122900,3163,1.0,0.75,0.7567258477210999,video_swap,0.7481823563575745,0.7238966822624207,0.9409766793251038,0.1842508316040039
12,P08,P08-20240613-122900,5494,1.0,1.0,0.6591178774833679,real,0.0,0.0,0.6591178774833679,0.0
12,P08,P08-20240613-122900,5494,1.0,1.0,0.6591178774833679,identity,0.0,0.0,0.6591178774833679,0.0
12,P08,P08-20240613-122900,5494,1.0,1.0,0.6591178774833679,gaze_swap,0.1142752394080162,0.062365442514419556,0.6621773838996887,0.0030595064163208008
12,P08,P08-20240613-122900,5494,1.0,1.0,0.6591178774833679,gaze_mask,0.21150454878807068,0.13316109776496887,0.6680986285209656,0.008980751037597656
12,P08,P08-20240613-122900,5494,1.0,1.0,0.6591178774833679,gaze_zero,0.2567874491214752,0.14803719520568848,0.6678158640861511,0.008697986602783203
12,P08,P08-20240613-122900,5494,1.0,1.0,0.6591178774833679,gaze_shuffle_time,0.029908746480941772,0.015047014690935612,0.660936713218689,0.001818835735321045
12,P08,P08-20240613-122900,5494,1.0,1.0,0.6591178774833679,hand_swap,0.035147525370121,0.02484370768070221,0.6622989773750305,0.0031810998916625977
12,P08,P08-20240613-122900,5494,1.0,1.0,0.6591178774833679,hand_mask,0.1346236616373062,0.10450086742639542,0.6613655090332031,0.002247631549835205
12,P08,P08-20240613-122900,5494,1.0,1.0,0.6591178774833679,hand_shuffle_time,0.03793543577194214,0.01942593790590763,0.6612979173660278,0.002180039882659912
12,P08,P08-20240613-122900,5494,1.0,1.0,0.6591178774833679,both_mask,0.21900567412376404,0.14903473854064941,0.6693418622016907,0.010223984718322754
12,P08,P08-20240613-122900,5494,1.0,1.0,0.6591178774833679,gaze_yaw_1deg,0.003984833601862192,0.0032907361164689064,0.6593762636184692,0.00025838613510131836
12,P08,P08-20240613-122900,5494,1.0,1.0,0.6591178774833679,gaze_yaw_2deg,0.00816099252551794,0.006521384697407484,0.6595975756645203,0.00047969818115234375
12,P08,P08-20240613-122900,5494,1.0,1.0,0.6591178774833679,gaze_yaw_5deg,0.021651502698659897,0.015659069642424583,0.6601452827453613,0.0010274052619934082
12,P08,P08-20240613-122900,5494,1.0,1.0,0.6591178774833679,gaze_yaw_10deg,0.044040996581315994,0.029155798256397247,0.6605421900749207,0.0014243125915527344
12,P08,P08-20240613-122900,5494,1.0,1.0,0.6591178774833679,gaze_yaw_20deg,0.09337911754846573,0.06052471697330475,0.6598730087280273,0.0007551312446594238
12,P08,P08-20240613-122900,5494,1.0,1.0,0.6591178774833679,gaze_yaw_45deg,0.17891308665275574,0.11043411493301392,0.6645888090133667,0.005470931529998779
12,P08,P08-20240613-122900,5494,1.0,1.0,0.6591178774833679,video_swap,0.6738680005073547,0.6836791634559631,0.793525218963623,0.13440734148025513
13,P08,P08-20240613-122900,882,1.0,1.0,0.3821164071559906,real,0.0,0.0,0.3821164071559906,0.0
13,P08,P08-20240613-122900,882,1.0,1.0,0.3821164071559906,identity,0.0,0.0,0.3821164071559906,0.0
13,P08,P08-20240613-122900,882,1.0,1.0,0.3821164071559906,gaze_swap,0.08988198637962341,0.04714100807905197,0.378979355096817,-0.003137052059173584
